below mode 1,below mode 1_cov,mode 1 ridge,mode 1 ridge_cov,mode 1 anti-res,mode 1 anti-res_cov,valley 1-2,valley 1-2_cov,mode 2 ridge,mode 2 ridge_cov,mode 2 flank,mode 2 flank_cov,above mode 2,above mode 2_cov,all,frac3dB,frac6dB,cov_frac,sig,sig_frac3dB,sig_bins,nrmse_cplx,phase_deg,rec,n,ell,k1,f_res
0.12633654350597517,0.4343065693430657,0.101029082092413,1.0,0.2887492053743187,1.0,0.4253875372249344,0.5010940919037199,,0.0,,0.0,,0.0,0.225746929677106,0.9639419848695108,0.9868615425936703,0.251,0.09764221652922295,0.975187265917603,144,2.425570327168442,0.7943394363925185,gp@fem_gp,12,30.0,,
0.1232344972436131,0.4343065693430657,0.08435398636365705,1.0,0.25303895002894683,1.0,0.4159566970941245,0.5010940919037199,,0.0,,0.0,,0.0,0.20495534946251248,0.9697383306281049,0.9888347843195121,0.251,0.08333250233747044,0.9958847736625515,144,2.5919244140554745,0.8055206173329973,fem_gp,20,30.0,1072.1961041720167,292778.58206020575
0.12514519441259303,0.4343065693430657,0.10600746167996983,1.0,0.2776753437540367,1.0,0.40505313746988575,0.5010940919037199,,0.0,,0.0,,0.0,0.21796092265520559,0.9646352860164281,0.9868058629678815,0.251,0.10178024106032454,0.9768518518518519,144,2.3587258557922564,0.7578487145465359,gp@fem_gp,20,30.0,,
0.11458147155739981,0.4343065693430657,0.0809434690378523,1.0,0.2409765569240066,1.0,0.39465166532818907,0.5010940919037199,,0.0,,0.0,,0.0,0.19245533153684746,0.969838954042983,0.9888474271926379,0.251,0.07821585137674365,0.9963810641627543,144,2.329316897634785,0.7730229798376247,fem_gp,30,30.0,894.7177052003361,292784.169968689
0.11826186408933737,0.4343065693430657,0.09990885710229899,1.0,0.26464113439842374,1.0,0.3974728001913108,0.5010940919037199,,0.0,,0.0,,0.0,0.20604635023683995,0.9654620952808485,0.9875989001739521,0.251,0.09359960884808231,0.9798513302034428,144,2.144044677471456,0.7304073029174653,gp@fem_gp,30,30.0,,
0.14213120546735253,0.4306569343065693,0.10531994275509572,1.0,0.3023448294677695,1.0,0.5291068042798636,1.0,0.17457642709929078,1.0,0.2455539107096868,1.0,0.30620448824000446,0.10401647785787847,0.2731975450636809,0.9594568567026194,0.9855225988700564,0.48675,0.12916543122580493,0.9906358885017421,287,5.16668202597216,1.4333641934735355,eb2_gp,5,30.0,984.2557815528041,293809.42079345125
0.15171272102095995,0.4306569343065693,0.12677420914851562,1.0,0.3331862574916924,1.0,0.4279205430928674,1.0,0.3706670586414788,1.0,0.28304206097562346,1.0,0.4169865180582919,0.10401647785787847,0.2970574035929856,0.9467931432973806,0.9800494350282486,0.48675,0.19184341475521732,0.9727787456445993,287,4.8802235065459225,1.1570623594426102,gp@eb2_gp,5,30.0,,
0.14246011057227306,0.4306569343065693,0.10155236676698373,1.0,0.3058458298742369,1.0,0.5210350859624833,1.0,0.1659968572072837,1.0,0.22956724872424733,1.0,0.27072834863110096,0.10401647785787847,0.2610775879877087,0.9588300489281756,0.9858351580028654,0.48675,0.12776159539466353,0.9917109847790208,287,5.0744602764746904,1.4016505663842356,eb2_gp,6,30.0,983.7702260252491,293823.352947596
0.15720890748957111,0.4306569343065693,0.14550863485922616,1.0,0.32923384636456443,1.0,0.4393609973423097,1.0,0.2970993994732402,1.0,0.25954040110906385,1.0,0.37931057810084756,0.10401647785787847,0.2877637068396291,0.9495796502040926,0.9818668396723704,0.48675,0.19051808301465134,0.9758298184485604,287,4.8962017844839485,1.2107332503174555,gp@eb2_gp,6,30.0,,
0.12963864597102537,0.4306569343065693,0.10943250601566404,1.0,0.31955914860329715,1.0,0.5242830274689111,1.0,0.1751361345396257,1.0,0.21657456375601225,1.0,0.2618006168600906,0.10504634397528322,0.2562918763657363,0.9639517370363627,0.9880556337134566,0.48725,0.12757159159171855,0.9908958075755873,287,4.686784257408951,1.2767109108575738,eb2_gp,8,30.0,979.2479022082425,293978.87373245036
0.13797965470955303,0.4306569343065693,0.11938315302848836,1.0,0.3076166379832451,1.0,0.40351399338410315,1.0,0.29901022282616224,1.0,0.24553930313308478,1.0,0.3527005989316466,0.10504634397528322,0.2675029435180382,0.9559796311314873,0.9844750823416475,0.48725,0.1758499966525851,0.9745981791615151,287,4.509142044169319,1.076645881893007,gp@eb2_gp,8,30.0,,
0.12332361503329137,0.4306569343065693,0.09854245358223089,1.0,0.30881122387910753,1.0,0.49169222788508005,1.0,0.1253780878201252,1.0,0.20278789924867285,1.0,0.24005499348383805,0.10401647785787847,0.23656882899174597,0.9642261502859484,0.9875579254745128,0.48675,0.1073969522327683,0.9920526171553851,287,4.353842013634578,1.195675888301688,eb2_gp,12,30.0,984.4148441620378,293742.1027994444
0.12574041587887325,0.4306569343065693,0.101029082092413,1.0,0.2887492053743187,1.0,0.3867579719100617,1.0,0.19639415300887425,1.0,0.22541346178144384,1.0,0.2889687602457896,0.10401647785787847,0.24265327706064457,0.9561007138611405,0.9837145017110738,0.48675,0.13924452538207213,0.9736522726382962,287,4.2222133697830975,1.0655911592056628,gp@eb2_gp,12,30.0,,
0.12263955843924139,0.4306569343065693,0.08462743726715592,1.0,0.2952709392862277,1.0,0.47260033803526674,1.0,0.11725557481742561,1.0,0.18391698954303975,1.0,0.21530564168598454,0.1035015447991761,0.22228591044344942,0.9664458909063226,0.9877875477395861,0.4865,0.09972910589828723,0.9920850002150815,287,4.246289848763051,1.11207118155717,eb2_gp,20,30.0,985.3992626659716,293698.50519354414
0.12486847138610008,0.4306569343065693,0.10600746167996983,1.0,0.2776753437540367,1.0,0.3723081931100883,1.0,0.16921856310806205,1.0,0.19859271453946747,1.0,0.24311161872648446,0.1035015447991761,0.22395423729971642,0.959302399350361,0.9846218263484451,0.4865,0.13155850138524844,0.9740611691831204,287,4.204000772885017,1.0180575913282248,gp@eb2_gp,20,30.0,,
0.11457730170925748,0.4306569343065693,0.08286941414423092,1.0,0.281064405487948,1.0,0.43906245939098454,1.0,0.1095665610125885,1.0,0.17749624045563675,1.0,0.19736265429301264,0.1035015447991761,0.20850459419493284,0.9672350650666589,0.9878696640273295,0.4865,0.0934939503139179,0.9930313588850174,287,3.7762687978668286,1.0515466803697535,eb2_gp,30,30.0,985.3735167714868,293673.3332853324
0.11804085861451019,0.4306569343065693,0.09990885710229899,1.0,0.26464113439842374,1.0,0.3637157910466668,1.0,0.15772406101348932,1.0,0.18763227726302883,1.0,0.22921311789345003,0.1035015447991761,0.21190085141732096,0.9608803902552002,0.9856694121563916,0.4865,0.12078733025791745,0.9772783039701625,287,3.7460633304436586,0.9672191682334415,gp@eb2_gp,30,30.0,,
