arm,k1,f_res,g,gain_a,gain_b,f2_pred,m1,m2,anti,all,n,f2_err_kHz,f2_over_f1,gain_ratio_dB,ell
A only,389.76035288119544,292772.1302731254,9250.671235858616,20.432555044216162,,757703.12,0.9711151614813838,19.10995269929198,21.007355236421738,9.023632385119301,6,-144.8125,2.588030217538613,,
"A+B, 1 gain",1011.1899051914522,293243.81566042034,11428.626802051398,19.800531994661235,,902078.12,8.145465712387029,1.3734694243341892,16.21830557047459,3.071086714674406,6,-0.4375,3.0762050956416984,,
"A+B, per-band",971.7873342055673,294167.18315942143,19999.90433458271,20.561561031990234,19.461013767541495,901203.12,3.3773328557330187,1.6485268270644904,21.87839659144213,3.6060423063441513,6,-1.3125,3.0635746323599955,-9.559232080476125,
"A+B, per-band +GP",971.7873342055673,294167.18315942143,19999.90433458271,20.561561031990234,19.461013767541495,902515.62,0.31011353103857875,0.3271993449422371,13.607304927221671,0.7498944794069873,6,0.0,3.068036380900072,-9.559232080476125,8.0
A only,385.9598954290199,292813.276916288,9559.770017659084,20.47044509355166,,746765.62,0.6257590172823683,18.976129920090766,22.402944004115813,9.262086111167264,8,-155.75,2.550313386962613,,
"A+B, 1 gain",1532.2204564120677,293404.521984277,19999.90433458271,20.945579847689235,,923078.12,2.433068560042078,4.815538209685685,26.376570790518578,9.588127874386563,8,20.5625,3.1460937062499195,,
"A+B, per-band",968.5082071635173,294251.1995659374,19999.90433458271,20.699102141734294,19.499051828499056,901640.62,3.459727108960128,1.3670615304031117,24.346413627048136,3.2628832747516507,8,-0.875,3.064186726613346,-10.423504580886654,
"A+B, per-band +GP",968.5082071635173,294251.1995659374,19999.90433458271,20.699102141734294,19.499051828499056,902515.62,0.19754520566636946,0.25777989979635424,10.68209634753485,0.4988952383623647,8,0.0,3.0671603763428648,-10.423504580886654,8.0
A only,371.62732615236257,292823.5627689408,9938.063585359261,20.49699821282245,,746765.62,0.3551520125468258,19.290462136492657,22.360648122952,9.357920525753121,10,-155.75,2.5502238035033153,,
"A+B, 1 gain",1557.576113640986,293194.0363760955,19999.90433458271,20.98019314036747,,923078.12,2.3853096120922848,4.735019664182867,26.515271412824546,9.8293539141523,10,20.5625,3.1483523041918864,,
