IGOR
WAVES	Frequency	Phase	Amp
BEGIN
	280302.91	168.34319	0.00042438507
	280499.75	166.98119	0.00042319298
	280696.59	170.14108	0.00042438507
	280893.44	166.81424	0.00042796135
	281090.25	171.28981	0.00043272972
	281287.09	166.78725	0.00042200089
	281483.94	170.48488	0.00042438507
	281680.78	166.67992	0.00039219856
	281877.62	167.52487	0.00041365623
	282074.47	168.65848	0.00042319298
	282271.31	171.00284	0.00043392181
	282468.16	171.86989	0.00041246414
	282665	168.50343	0.00043034554
	282861.84	168.23169	0.00043749809
	283058.66	168.84534	0.00043034554
	283255.5	172.3083	0.00041842461
	283452.34	168.94357	0.00042200089
	283649.19	168.7545	0.00041484833
	283846.03	168.94728	0.00041604042
	284042.88	169.00522	0.00042438507
	284239.72	169.52037	0.00041842461
	284436.56	169.34146	0.00043153763
	284633.41	166.77779	0.00042676926
	284830.22	173.07887	0.00041484833
	285027.06	167.54366	0.00040888786
	285223.91	170.58987	0.00042915344
	285420.75	168.65756	0.00041127205
	285617.59	169.19319	0.00042557716
	285814.44	173.2227	0.00041365623
	286011.28	170.09331	0.00042915344
	286208.12	170.21758	0.00042080879
	286404.97	169.96309	0.00041007996
	286601.81	170.45963	0.00043153763
	286798.62	170.02969	0.0004196167
	286995.47	169.49603	0.00039815903
	287192.31	168.38002	0.00043153763
	287389.16	171.84735	0.00042796135
	287586	171.68234	0.00041127205
	287782.84	171.84778	0.000436306
	287979.69	170.07375	0.00043511391
	288176.53	168.06837	0.00040888786
	288373.38	168.59344	0.00041484833
	288570.22	170.18069	0.00043988228
	288767.03	169.35077	0.00042557716
	288963.88	169.37064	0.00043272972
	289160.72	171.19319	0.00042796135
	289357.56	169.60847	0.00042200089
	289554.41	171.38919	0.00042080879
	289751.25	170.93518	0.00042319298
	289948.09	169.53767	0.00042557716
	290144.94	169.15637	0.00043034554
	290341.78	170.78021	0.00041604042
	290538.59	169.85277	0.00042557716
	290735.44	171.43086	0.00043988228
	290932.28	172.20625	0.00043034554
	291129.12	172.26437	0.00041604042
	291325.97	170.74312	0.000436306
	291522.81	171.84689	0.0004196167
	291719.66	171.64781	0.00043392181
	291916.5	172.09724	0.00042438507
	292113.34	172.24904	0.00043272972
	292310.19	174.68916	0.00042438507
	292507	171.11934	0.00042438507
	292703.84	173.05901	0.00041365623
	292900.69	169.84572	0.00040531158
	293097.53	170.97818	0.00043272972
	293294.38	169.71014	0.00040650368
	293491.22	168.84106	0.00044345856
	293688.06	169.70967	0.0004196167
	293884.91	172.59627	0.00042438507
	294081.75	172.49138	0.0004196167
	294278.56	167.77759	0.00041007996
	294475.41	170.28539	0.00044465065
	294672.25	171.70624	0.00041246414
	294869.09	169.79929	0.00041007996
	295065.94	170.14774	0.00043153763
	295262.78	170.46216	0.00044584274
	295459.62	171.80055	0.00041723251
	295656.47	171.17174	0.00044226646
	295853.31	172.35394	0.00043869019
	296050.16	170.87823	0.00042796135
	296246.97	171.55557	0.00042915344
	296443.81	169.14989	0.000436306
	296640.66	172.77568	0.00042557716
	296837.5	169.84801	0.00043869019
	297034.34	172.31232	0.000436306
	297231.19	170.33017	0.00043272972
	297428.03	169.83644	0.00043153763
	297624.88	173.49861	0.00042080879
	297821.72	172.1814	0.0004029274
	298018.53	169.16304	0.00042438507
	298215.38	169.70967	0.0004196167
	298412.22	171.80193	0.00042557716
	298609.06	170.70074	0.00041246414
	298805.91	171.1687	0.00042676926
	299002.75	174.46231	0.00043153763
	299199.59	170.1747	0.00043272972
	299396.44	173.79997	0.00043034554
	299593.28	171.14798	0.00044107437
	299790.12	172.37328	0.00042200089
	299986.94	171.84689	0.0004196167
	300183.78	172.33952	0.00041127205
	300380.62	170.08569	0.00042200089
	300577.47	171.69318	0.000436306
	300774.31	173.73067	0.00042557716
	300971.16	171.1909	0.00041246414
	301168	171.71266	0.00042915344
	301364.84	168.59619	0.00042796135
	301561.69	172.39423	0.00040411949
	301758.53	173.1886	0.00043153763
